# E (eV)   ldos(E)   pdos(E)   
 -22.870  0.000E+00  0.000E+00
 -22.860  0.000E+00  0.000E+00
 -22.850  0.000E+00  0.000E+00
 -22.840  0.000E+00  0.000E+00
 -22.830  0.000E+00  0.000E+00
 -22.820  0.000E+00  0.000E+00
 -22.810  0.000E+00  0.000E+00
 -22.800  0.000E+00  0.000E+00
 -22.790  0.000E+00  0.000E+00
 -22.780  0.000E+00  0.000E+00
 -22.770  0.000E+00  0.000E+00
 -22.760  0.000E+00  0.000E+00
 -22.750  0.000E+00  0.000E+00
 -22.740  0.000E+00  0.000E+00
 -22.730  0.000E+00  0.000E+00
 -22.720  0.000E+00  0.000E+00
 -22.710  0.000E+00  0.000E+00
 -22.700  0.000E+00  0.000E+00
 -22.690  0.000E+00  0.000E+00
 -22.680  0.000E+00  0.000E+00
 -22.670  0.000E+00  0.000E+00
 -22.660  0.000E+00  0.000E+00
 -22.650  0.000E+00  0.000E+00
 -22.640  0.000E+00  0.000E+00
 -22.630  0.000E+00  0.000E+00
 -22.620  0.000E+00  0.000E+00
 -22.610  0.000E+00  0.000E+00
 -22.600  0.000E+00  0.000E+00
 -22.590  0.000E+00  0.000E+00
 -22.580  0.000E+00  0.000E+00
 -22.570  0.000E+00  0.000E+00
 -22.560  0.000E+00  0.000E+00
 -22.550  0.000E+00  0.000E+00
 -22.540  0.000E+00  0.000E+00
 -22.530  0.000E+00  0.000E+00
 -22.520  0.000E+00  0.000E+00
 -22.510  0.000E+00  0.000E+00
 -22.500  0.000E+00  0.000E+00
 -22.490  0.000E+00  0.000E+00
 -22.480  0.000E+00  0.000E+00
 -22.470  0.000E+00  0.000E+00
 -22.460  0.000E+00  0.000E+00
 -22.450  0.000E+00  0.000E+00
 -22.440  0.000E+00  0.000E+00
 -22.430  0.000E+00  0.000E+00
 -22.420  0.000E+00  0.000E+00
 -22.410  0.000E+00  0.000E+00
 -22.400  0.000E+00  0.000E+00
 -22.390  0.000E+00  0.000E+00
 -22.380  0.000E+00  0.000E+00
 -22.370  0.000E+00  0.000E+00
 -22.360  0.000E+00  0.000E+00
 -22.350  0.000E+00  0.000E+00
 -22.340  0.000E+00  0.000E+00
 -22.330  0.000E+00  0.000E+00
 -22.320  0.000E+00  0.000E+00
 -22.310  0.000E+00  0.000E+00
 -22.300  0.000E+00  0.000E+00
 -22.290  0.000E+00  0.000E+00
 -22.280  0.000E+00  0.000E+00
 -22.270  0.000E+00  0.000E+00
 -22.260  0.000E+00  0.000E+00
 -22.250  0.000E+00  0.000E+00
 -22.240  0.000E+00  0.000E+00
 -22.230  0.000E+00  0.000E+00
 -22.220  0.000E+00  0.000E+00
 -22.210  0.000E+00  0.000E+00
 -22.200  0.000E+00  0.000E+00
